,USA,FEMA_1,FEMA_2,FEMA_3,FEMA_4,FEMA_5,FEMA_6,FEMA_7,FEMA_8,FEMA_9,FEMA_10,g23g33g25,g36,g51,g13,g17,g48,g29,g46,g06,g16
MEDAGE_ACS,0.023970146686681508,0.022745607758545446,0.012946259565709207,0.028067667884515875,0.02234263816941548,0.03797810917775633,0.018292480706208245,0.012714181569631978,0.04273324101306328,0.025536211273173265,0.01276349339868918,0.3759406044825428,0.3117414560591862,0.11346976125785344,0.2603454572238054,-0.03708526937218211,0.12547937812259927,0.1578500596985817,0.21027473939463423,0.06564410766348183,0.06634324810263871
BLACK_ACS,-0.0014777719713866934,0.029949292576200534,-0.004627077512570937,0.022747811794755747,0.007321951529904468,0.02133373251588672,-0.02667097154362875,0.024343461988370625,0.030113854243952347,-0.04091690880799616,-0.046293431363242044,0.053934509872786224,0.042322090278878295,-0.10868626360038097,0.0923179945508649,0.015925212902628633,0.4375368004243451,-0.022929676984338287,0.4615934192543924,-0.3110807268791341,0.39007945840124053
QNATAM_ACS,0.01733848317622342,0.0272985636256166,0.011059599265150467,-0.0196159997409296,0.03350184136987149,0.023223676878021147,0.008781148476751353,0.00960148733630432,0.02559011742349801,0.0289145920149923,-0.017716135544964453,0.4368961618350752,-0.5478460350881299,-0.3008952652405302,-0.5331774461074839,0.5320857786710933,-0.063273220806718,0.4424684402416176,-0.06742152347843189,-0.3030127076254382,0.2833200939614214
QASIAN_ACS,-0.013797330305814176,0.011364224071571508,-0.015914904026038724,-0.008457651634333815,-0.01078278714096733,-0.0018781360337202764,0.001773346378044765,-0.012489001659348664,0.013876146042915012,-0.004211711282667646,-0.044676269083248676,0.12154662427310112,-0.1649275804565183,0.1985722580024262,0.21678060989133324,0.3274868102256041,0.22781419330298974,0.16107680537034264,0.5129564145560321,-0.09706466311399209,0.33394273016389986
QHISP_ACS,0.043515347590398726,0.024938952961136403,-0.0024295684733503095,0.0675226982335007,0.04757844187201314,0.04387974850556055,0.04295884774434285,0.04495047147650011,0.030493883230157715,0.040354551640488345,0.043106605372236914,0.3282301818174964,0.015489200147251811,0.5596910915198628,0.3692459463586612,-0.1928770242624686,-0.02675897441945193,0.4841073616816264,0.4982532816112108,0.27124089367058357,0.2529619796716294
QAGEDEP_ACS,0.061840261227708915,0.04848208610006906,0.03487198056330855,0.04878221161241637,0.04563008459940808,0.06416218368624706,0.05645920232902432,0.040538671148206244,0.05411877940617141,0.0525612677006682,0.04566438869484152,0.5605226903620982,0.598080324872289,0.26885151316971706,0.1478671792425879,0.05306045968440935,0.1831041647456108,0.4353354091421754,0.13917766570923357,0.23360151570415766,0.11620081622264317
QPUNIT_ACS,0.002169267997599502,-0.00883951680666417,-0.04766259571132135,0.02820586095769782,-0.013871332164692224,-0.005758022071790152,0.001058562437321206,-0.011978427286763498,-0.008546005834594127,0.012421163443013009,-0.003914042311738015,0.36315836797470735,-0.3547671784278436,-0.04384760928435838,-0.36990805375917823,-0.4299439389309135,-0.37173157271768614,-0.4554672733136933,-0.14443278080591282,-0.19005758082477803,-0.19761537024775264
PRENTER_ACS,0.002086823117330894,0.005394189964356871,0.017365355643688737,-0.014603860826328769,0.011202358475458404,-0.013292293593768824,0.006356447931609785,0.0130414670573622,-0.007968039874280018,0.003306507127848802,0.02724317208841502,-0.03226003435074999,0.16710973937877216,0.10169556757035121,-0.11408520589165401,0.19079068360635093,0.23339804602977302,0.16369114383294706,-0.040319124125234536,0.3998430213788258,0.45739454980528316
QNRRES_ACS,0.021342714132984105,-0.0031979927419023835,0.02569441769675021,0.04195410445532136,0.024964840033218444,0.02220677393667432,0.018344405588363383,0.052431908205479015,0.005726396160306546,0.0601900955806099,0.039311132282598436,0.3546284345603965,0.5406838691568318,0.16125843922566632,0.4408835184905149,-0.14464487707915513,0.32971425563441925,0.2838149553763193,-0.2806934641190257,0.6606190198597633,0.16608415441226965
QFEMALE_ACS,0.050623206030140006,0.04325300655656358,-0.010984358868840537,0.0014039225283144219,0.0041917025464300265,0.0499679756952382,0.03962020397259689,0.04501008497837175,0.04458068717532651,0.01687764827660001,0.0500778082996358,0.41660278486936736,0.5274800703874588,-0.08654151341431107,-0.3363578596518715,-0.28193525900062355,-0.34954567306704887,0.6449419343748198,0.4817238076531225,-0.5559876913770134,0.05116557462959137
QFHH_ACS,0.025411361264798645,0.04112820967288889,0.007950239607676851,0.03456098648893993,0.017382431518656472,0.02904046813645316,0.02064767622315128,0.0380525690808462,0.021833796680065822,0.043836794439037784,0.04499918051294922,0.5571342761300675,0.2711985403521271,-0.03571381973194987,-0.07376854562817341,-0.19485247422098734,0.22086918040752637,0.21031302704319715,0.059313120097063236,-0.1471812838342208,0.504564809842365
QUNOCCHU_ACS,0.02600626700614395,0.013159390225148322,0.04540093933974661,0.060374928414994894,0.031700255162257746,0.03883071774698078,0.03186131056174387,-0.004809246232309315,0.045021335409661904,0.02514001540537157,-0.027734105574903613,-0.12542205642552476,0.14195858126920086,0.5050779564641122,0.20224805168104473,0.42155785788993533,0.28198273450039146,0.4014234650887497,0.7326453990887248,-0.4060318075756433,-0.28286552594833503
PERCAP_ALT,0.03719043066105448,0.027593849307423358,0.02659474939217349,0.04472847520665466,0.03450003215931459,0.029446517618982385,0.04010389987184867,0.0371729480885142,0.017192986563867994,0.02919013826296014,0.028700668669794368,0.09228133990502435,0.12611820985315508,0.15143577057630922,-0.09523002700449266,0.09866754858984944,0.19136394547393415,0.18676510938687216,0.24779219190774301,-0.15315670742152815,0.19837919580252708
QESL_ALT,0.03594625263335402,0.03069322020727376,-0.0033041025354975384,0.05920767158178978,0.048399229349392316,0.052287532730272604,0.036464841619434626,0.04612410466883346,0.030715035468280482,0.05305742462547976,0.030614020313840445,0.36227354978740556,-0.037824444632398556,0.5856661650565473,0.497420954090376,-0.03680055488431938,-0.05973981889512378,0.4437891205217911,0.3146096506462381,0.3046830265292224,0.20874494360195872
QCVLUN,0.014409925521537179,0.06320496305725799,0.03163213658692222,0.02017030089238136,0.02728992743204907,0.01281651846842399,0.006108172162324975,0.003317872472800727,0.05347871093703501,0.037495240276352426,0.008361966583154464,0.7443583694916905,-0.16521884961453187,0.30760873274681255,0.3452628993516358,0.2501655883433718,0.4004360139751498,-0.17894792793077746,0.13275565690754895,0.4106997856986344,0.27585792221688143
QPOVTY,0.04088264291548807,0.046129611489246075,0.048949233659966555,0.02071695959608573,0.04239476334712705,0.031860628641020336,0.05208449044305685,0.0370202960914288,0.045493908994155785,0.07071694198788946,0.032752606671194937,0.024630642480282544,0.28319888842874197,0.331006099343671,0.33146787214446605,0.42440472693980247,0.32640445178129285,0.39630137092533996,0.1449900529040044,0.1915508474107126,0.35528638245848787
QMOHO,0.0020342738981106723,-0.0030063501042418856,0.031339491973807615,0.00955540108452357,0.01972929627052269,-0.006454642333410886,-0.030835816256135892,-0.011665046848895116,0.00982338314393753,-0.0049048960870072865,0.030383715614112253,-0.4667963664176194,-0.018566514286813635,0.2783863161821605,0.07585833632958694,0.31295453069576556,-0.4332149094541732,0.028339476808053488,0.7326004522583326,0.3048144566734855,0.4009114971059622
QED12LES_ALT,0.0379040710261198,0.0362211256607917,0.03835258764908564,0.04725822307371272,0.037789245584050474,0.04553141805709128,0.030459127448703188,0.054800298810474955,0.05257847052584714,0.059888401420548534,0.045415908978371104,0.4478369574546297,0.19058617569597613,0.4876980312776257,0.27203672898023135,0.058410198126951376,0.07944349442822922,-0.053476756838857095,-0.008216341728024924,0.523531110390644,0.4222993972442274
