GEOID,sovi,rank
g01001,-0.599558658022137,1918.0
g01003,-0.1914942603934038,1691.0
g01005,-0.0031130335673605347,1580.0
g01007,-0.3991473339066552,1819.0
g01009,-0.12459841289962575,1650.0
g01011,-0.13646463902060096,1659.0
g01013,0.1983577689535775,1465.0
g01015,-0.005765619787929065,1581.0
g01017,1.744805435592812,698.0
g01019,-1.6677680778772759,2386.0
g01021,-2.4257451312033345,2607.0
g01023,-0.6476378565188181,1943.0
g01025,1.058068573470285,1002.0
g01027,0.10966134575561126,1519.0
g01029,-0.620170112532118,1934.0
g01031,-0.8125615728165686,2025.0
g01033,-0.5515466150469843,1898.0
g01035,2.4137497801981143,452.0
g01037,-1.226775432219958,2222.0
g01039,1.5363962515486351,795.0
g01041,-0.4518282680793759,1854.0
g01043,-0.8001125881234522,2018.0
g01045,-0.6794325806432309,1957.0
g01047,3.5505298338416726,250.0
g01049,0.07281529508747075,1541.0
g01051,-2.6234224519116913,2665.0
g01053,0.5585961113023994,1269.0
g01055,0.6324304630642118,1225.0
g01057,0.1172396286191617,1517.0
g01059,-0.05074763530772919,1607.0
g01061,0.09424704542059104,1527.0
g01063,3.0788260035880977,317.0
g01065,1.8304356421901946,657.0
g01067,0.5584838959425963,1270.0
g01069,-0.06349772495092754,1617.0
g01071,-1.3865409081595608,2281.0
g01073,-0.44054734374075044,1844.0
g01075,0.6112681156568365,1235.0
g01077,0.23352626002989768,1450.0
g01079,-1.241377028097928,2229.0
g01081,-4.0627508108200905,2944.0
g01083,-3.2162237456332474,2805.0
g01085,1.7903746142212804,680.0
g01087,4.432082769906463,152.0
g01089,-3.681665681152805,2887.0
g01091,1.8219499754294355,660.0
g01093,0.786575062975473,1144.0
g01095,-0.07687388763231495,1622.0
g01097,-0.40418434812225135,1825.0
g01099,0.9824660051890817,1038.0
g01101,0.27958619341234225,1428.0
g01103,-1.192818022041079,2203.0
g01105,5.496695527733737,101.0
g01107,1.757844633524884,693.0
g01109,0.4351565850887563,1346.0
g01111,0.5058509104736122,1303.0
g01113,1.8543564952478924,646.0
g01115,-3.6702469790933008,2884.0
g01117,-5.741074249102718,3065.0
g01119,6.025837851995897,85.0
g01121,-0.36124956914461315,1799.0
g01123,1.6704679752320595,733.0
g01125,-1.7286481493251777,2406.0
g01127,0.13126949210014116,1501.0
g01129,-3.389680840260895,2842.0
g01131,3.2577907621285354,294.0
g01133,0.3018549591974331,1418.0
g02013,-10.167367417836132,3140.0
g02016,-8.519325753309769,3133.0
g02020,-4.76269158449771,3005.0
g02050,9.828533379470086,17.0
g02060,-3.516493018094793,2858.0
g02068,-4.407895266110304,2969.0
g02070,7.0171278209585966,55.0
g02090,-5.953313212233531,3081.0
g02100,-4.402906271321958,2968.0
g02105,2.6699082452893927,402.0
g02110,-5.418295023601944,3050.0
g02122,-3.295551287224838,2820.0
g02130,-2.962425917021265,2745.0
g02150,-3.6414823697222847,2877.0
g02164,9.441223292229628,20.0
g02170,-5.585675170977429,3058.0
g02180,8.132584294704166,38.0
g02185,-0.19466557720671185,1694.0
g02188,8.682960412967027,32.0
g02195,-3.2756609217851516,2815.0
g02198,-1.5197619653399004,2336.0
g02220,-1.7292874249604169,2407.0
g02230,-4.861369536888018,3010.0
g02240,-4.071081964629049,2946.0
g02261,-4.844715486369961,3009.0
g02270,13.769675511912668,4.0
g02275,2.2776673573905084,494.0
g02282,-4.6514568872143,2996.0
g02290,8.324500964538602,35.0
g04001,10.039613152540388,15.0
g04003,2.5179709223091793,433.0
g04005,1.1961328062870382,935.0
g04007,5.826606024913804,90.0
g04009,0.18777009386157628,1472.0
g04011,-1.232994657236385,2226.0
g04012,7.371487558076359,51.0
g04013,-0.44653290933973566,1849.0
g04015,3.5138584072288577,254.0
g04017,5.846507840656757,89.0
g04019,2.247381579380442,507.0
g04021,-0.5640677233024076,1903.0
g04023,7.551625744379148,49.0
g04025,2.841472534884044,362.0
g04027,4.732446263690217,133.0
g05001,0.5084128027241638,1299.0
g05003,-0.43591677321864886,1840.0
g05005,4.69819371476297,135.0
g05007,-2.169667621586273,2545.0
g05009,0.8854670669717968,1087.0
g05011,2.042583065111054,575.0
g05013,-2.5353152753527795,2636.0
g05015,1.797982651866028,677.0
g05017,5.067362560718531,124.0
g05019,2.6416500006301176,407.0
g05021,0.6767482144831365,1202.0
g05023,1.7680326013993526,688.0
g05025,-1.7105115929502035,2397.0
g05027,1.8592805183271899,645.0
g05029,0.4275261805664451,1348.0
g05031,-0.5999248572570247,1919.0
g05033,-0.26584074557607074,1740.0
g05035,1.1897458805054122,940.0
g05037,0.6598061191818467,1216.0
g05039,0.38207321003299355,1376.0
g05041,3.241158208862091,297.0
g05043,0.7394850670144759,1170.0
g05045,-3.2258551914839955,2808.0
g05047,1.352854327636459,869.0
g05049,3.995182387060297,194.0
g05051,2.071110506068442,560.0
g05053,-3.1330984374374222,2789.0
g05055,-0.8669090935440663,2053.0
g05057,2.327095192473424,482.0
g05059,-0.5126614192011707,1881.0
g05061,3.1764814042123124,305.0
